Client,Market,Brand,Category
AMC,Slovakia,TV Spektrum,Entertainment & media
AMC,Slovakia,"Sport1, Sport2",Entertainment & media
Bonduelle Group,Slovakia,Bonduelle ,Food
Campari,Slovakia,Aperol,Drinks (alcoholic)
F&F,Slovakia,F&F,Fashion
Glenmark,Slovakia,Ataralgin,Healthcare
Glenmark,Slovakia,Revitanerv,Healthcare
Glenmark,Slovakia,Cetalgen,Healthcare
Glenmark,Slovakia,Alfasilver,Healthcare
Gyn-Fiv,Slovakia,Gyn-Fiv,Healthcare
Gyn-Fiv,Slovakia,Nadejna rodina,Healthcare
I.D.C. Holding,Slovakia,Lina,Food
I.D.C. Holding,Slovakia,Mila,Food
I.D.C. Holding,Slovakia,Horalky,Food
I.D.C. Holding,Slovakia,Rodinne,Food
I.D.C. Holding,Slovakia,"Kavenky, Kakaove rezy, Vesna",Food
I.D.C. Holding,Slovakia,Verbena,Food
I.D.C. Holding,Slovakia,Pedro,Food
Kondela,Slovakia,Kondela,Household Items
NAOS,Slovakia,NAOS,Personal Care
Sarantis,Slovakia,Fino,Household Items
Sarantis,Slovakia,Indulona,Household Items
Provida,Slovakia,Program Buddy,Charities
Slovenska sporitelna,Slovakia,Image,Finance
Slovenska sporitelna,Slovakia,B2B,Finance
Decathlon,Slovakia,Decathlon,Retail
Kuehne+Nagel,Slovakia,Kuehne+Nagel,Automotive
Honor,Slovakia,Honor,Consumer Electronics
Dm Drogerie Markt,Slovakia,Dm Drogerie Markt,Retail
Jeronimo Martins,Slovakia,Jeronimo Martins,Retail
Orange Group,Slovakia,Orange Slovensko,Telecoms
Plzensky prazdroj,Slovakia,Pilsner Urquell,Drinks (alcoholic)
Plzensky prazdroj,Slovakia,Birell,Drinks (non-alcoholic)
Plzensky prazdroj,Slovakia,Radegast,Drinks (alcoholic)
Plzensky prazdroj,Slovakia,Saris,Drinks (alcoholic)
Plzensky prazdroj,Slovakia,Peroni,Drinks (alcoholic)
Plzensky prazdroj,Slovakia,Captain Jack,Drinks (alcoholic)
SkyShowtime,Slovakia,SkyShowtime,Home Entertainment
PKN Orlen,Slovakia,Orlen,Automotive
PKN Orlen,Slovakia,Stop Cafe,Restaurants
Deichmann,Slovakia,Deichmann,Fashion
Viva,Slovakia,Viva,Household Items
VSZP,Slovakia,VsZP,Finance
Bestdrive,Slovakia,Bestdrive,Automotive
Nivy,Slovakia,Stanica Nivy,Retail
Haribo,Slovakia,Goldenbaren,Food
St. Nicolaus,Slovakia,Nicolaus vodka,Drinks (alcoholic)
St. Nicolaus,Slovakia,Zbojnicka,Drinks (alcoholic)
St. Nicolaus,Slovakia,Professorado,Drinks (alcoholic)
St. Nicolaus,Slovakia,Budis,Drinks (non-alcoholic)
St. Nicolaus,Slovakia,Gemerka,Drinks (non-alcoholic)
UNION poistovna,Slovakia,UNION Zdravotna poistovna,Finance
UNION poistovna,Slovakia,UNION poistovna,Finance
Prosight,Slovakia,Prosight,Finance
AAA Auto,Slovakia,AAA Auto Service,Automotive
Vesely,Slovakia,Vesely Eye Clinic,Healthcare
Gymbeam,Slovakia,Gymbeam,Retail
Lentiamo,Slovakia,Lentiamo,Retail
Outlet Center Parndorf,Slovakia,Parndorf,Retail
Action Service & Distribution B.V.,Slovakia,Action,Retail
